Interaction transects,Gut content metabarcoding,Pollen metabarcoding,Flower count
Lathyrus,Abelmoschus,Aconitum,Bellis
Vaccinium,Achillea,Aegilops,Euphorbia
Viola,Aconitum,Agrostis,Helleborus
Helleborus,Actinidia,Ajuga,Hepatica
Pedicularis,Aegilops,Allium,Hutchinsia
Anemone,Aegonychon,Alopecurus,Primula
Geranium,Agrostis,Anagallis,Ranunculus
Vicia,Ajuga,Anthyllis,Taraxacum
Linaria,Allium,Arabidopsis,Viola
Ranunculus,Alnus,Arenaria,Potentilla
Erica,Anagallis,Atriplex,Anemone
Digitalis,Anemone,Bellis,Lathyrus
Cirsium,Anthoxanthum,Betula,Polygala
Jasione,Anthyllis,Bromus,Scilla
Trifolium,Arabis,Bupleurum,Cerastium
Lotus,Arenaria,Calamagrostis,Crataegus
Prunella,Arrhenatherum,Calluna,Oxalis
Bellis,Bellis,Campanula,Erica
Daboecia,Betula,Capsella,Pedicularis
Rubus,Brachypodium,Capsicum,Erythronium
Teucrium,Brassica,Carduus,Narcissus
Thymus,Caltha,Castanea,Saxifraga
Eryngium,Campanula,Cerastium,Erinus
Scrophularia,Cardamine,Chaerophyllum,Vaccinium
Lamium,Carduus,Chaetopogon,Medicago
Potentilla,Carex,Chamaemelum,Arabis
Arabis,Castanea,Chenopodium,Stellaria
,Chaerophyllum,Cirsium,Genista
,Chrysosplenium,Citrullus,Vicia
,Cirsium,Clematis,Lotus
,Citrus,Clinopodium,Prunus
,Clematis,Coriandrum,Geranium
,Clinopodium,Crataegus,Veronica
,Colocasia,Crepis,Erodium
,Conium,Daboecia,Trifolium
,Crataegus,Descurainia,Erysimum
,Crepis,Dianthus,Cardamine
,Cucumis,Digitalis,Pinguicula
,Daboecia,Echium,Globularia
,Dactylis,Erica,Sherardia
,Digitalis,Eryngium,Fragaria
,Echium,Erysimum,Pilosella
,Erica,Euphrasia,Helianthemum
,Erinus,Fagus,Hippocrepis
,Erodium,Festuca,Galium
,Erucastrum,Galium,Brassicaceae
,Eryngium,Gentiana,Lamium
,Erysimum,Geranium,Thymus
,Erythronium,Glandora,Cruciata
,Eucalyptus,Glechoma,Scorzonera
,Fagus,Globularia,Ajuga
,Festuca,Helianthemum,Lysimachia
,Galium,Helictochloa,Myosotis
,Genista,Helleborus,Daboecia
,Gentiana,Hippocrepis,Caltha
,Geranium,Holcus,Rumex
,Glandora,Hordeum,Biscutella
,Glechoma,Hypericum,Arenaria
,Globularia,Hypochaeris,Ulex
,Helianthemum,Knautia,Calluna
,Helleborus,Lamium,Hypochaeris
,Herniaria,Lathraea,Capsella
,Hieracium,Lathyrus,Hornungia
,Hippocrepis,Leontodon,Helichrysum
,Holcus,Leucanthemum,Malva
,Hypericum,Libanotis,Satureja
,Hypochaeris,Linaria,Meconopsis
,Iberis,Lolium,Linaria
,Ilex,Lotus,Sisymbrium
,Jasione,Minuartia,Scrophularia
,Juglans,Miscanthus,Sanguisorba
,Lamium,Myosotis,Estrellita
,Lathraea,Narcissus,Anagallis
,Lathyrus,Pedicularis,Anthyllis
,Leontodon,Photinia,Linum
,Leucanthemum,Pilosella,Apiaceae
,Linaria,Plantago,Euphrasia
,Linum,Platanus,Thesium
,Lithodora,Poa,Alchemilla
,Lolium,Polygala,Prunella
,Lotus,Polygonum,Plantago
,Melampyrum,Populus,Teucrium
,Myosotis,Potentilla,Rosa
,Narcissus,Primula,Hypericum
,Oxalis,Prunella,Silene
,Parietaria,Prunus,Sedum
,Pedicularis,Pulmonaria,Cirsium
,Pilosella,Quercus,Digitalis
,Pinguicula,Ranunculus,Jasione
,Plantago,Rhinanthus,Convallaria
,Platanus,Rorippa,Campanula
,Pleuropterus,Rosa,Carduncellus
,Poa,Rubus,Endressia
,Polygala,Rumex,Herniaria
,Potentilla,Salix,Scleranthus
,Primula,Sambucus,Asteraceae
,Pritzelago,Saxifraga,Leucanthemum
,Prunella,Scabiosa,Clinopodium
,Prunus,Scrophularia,Heracleum
,Pulmonaria,Sesleria,Ophrys
,Pyrus,Setaria,Rubus
,Quercus,Sideritis,Achillea
,Ranunculus,Sisymbrium,Dianthus
,Raphanus,Solanum,Narthecium
,Rhinanthus,Stellaria,Wahlenbergia
,Robinia,Stipa,Chamaemelum
,Rosa,Symphytum,Orchidaceae
,Rubus,Tanacetum,Eryngium
,Salix,Taraxacum,Colchicum
,Sambucus,Teucrium,Rhinanthus
,Scrophularia,Thymus,Scabiosa
,Sedum,Tilia,Sideritis
,Sideritis,Trifolium,Jacobaea
,Silybum,Triglochin,Betonica
,Sisymbrium,Ulex,Seseli
,Solanum,Ulmus,Origanum
,Stellaria,Urtica,Epilobium
,Symphytum,Vaccinium,
,Taraxacum,Veronica,
,Teucrium,Vicia,
,Thymus,Viola,
,Tornabenea,Vitis,
,Tragopogon,Ziziphora,
,Trifolium,,
,Tripleurospermum,,
,Ulex,,
,Urtica,,
,Vaccinium,,
,Veronica,,
,Vicia,,
,Viola,,
