"","genus","Freq","asv_id"
"1","Abelmoschus",1,"ASV_811"
"2","Aconitum",1,"ASV_2034"
"3","Actinidia",1,"ASV_1870"
"4","Aegilops",1,"ASV_1177"
"5","Aegonychon",1,"ASV_1329"
"6","Alnus",1,"ASV_974"
"7","Anagallis",1,"ASV_1541"
"8","Anaphalioides",1,"ASV_2228"
"9","Arabis",1,"ASV_353"
"10","Arenaria",1,"ASV_2225"
"11","Arrhenatherum",1,"ASV_1937"
"12","Asparagus",1,"ASV_2211"
"13","Brachypodium",1,"ASV_458"
"14","Broussonetia",1,"ASV_917"
"15","Campanula",1,"ASV_2051"
"16","Carex",1,"ASV_2009"
"17","Chrysosplenium",1,"ASV_502"
"18","Cicer",1,"ASV_2115"
"19","Clematis",1,"ASV_2126"
"20","Clinopodium",1,"ASV_1731"
"21","Coptidium",1,"ASV_1081"
"22","Dracophyllum",1,"ASV_1056"
"23","Erinus",1,"ASV_1971"
"24","Eryngium",1,"ASV_853"
"25","Erythronium",1,"ASV_1640"
"26","Galium",1,"ASV_2025"
"27","Gaylussacia",1,"ASV_1666"
"28","Gentiana",1,"ASV_1787"
"29","Glechoma",1,"ASV_1396"
"30","Glycine",1,"ASV_1843"
"31","Gossypium",1,"ASV_1285"
"32","Herniaria",1,"ASV_1906"
"33","Hexachlamys",1,"ASV_1972"
"34","Iberis",1,"ASV_1753"
"35","Linum",1,"ASV_953"
"36","Macadamia",1,"ASV_2045"
"37","Megalachne",1,"ASV_2084"
"38","Melampyrum",1,"ASV_1903"
"39","Molinia",1,"ASV_1256"
"40","Morus",1,"ASV_2099"
"41","Muehlenbeckia",1,"ASV_2140"
"42","Musa",1,"ASV_1316"
"43","Olearia",1,"ASV_2212"
"44","Parietaria",1,"ASV_1436"
"45","Petroselinum",1,"ASV_2217"
"46","Pimelea",1,"ASV_1320"
"47","Pinguicula",1,"ASV_1164"
"48","Pleurophyllum",1,"ASV_1199"
"49","Poa",1,"ASV_1607"
"50","Pritzelago",1,"ASV_625"
"51","Pseudostellaria",1,"ASV_1644"
"52","Raphanus",1,"ASV_1122"
"53","Robinia",1,"ASV_1914"
"54","Salix",1,"ASV_1954"
"55","Schinus",1,"ASV_1873"
"56","Secale",1,"ASV_1936"
"57","Silybum",1,"ASV_772"
"58","Solanum",1,"ASV_1525"
"59","Styphelia",1,"ASV_1990"
"60","Thymus",1,"ASV_1338"
